,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
979,1,BHK,Apartment,Madhapur,Hyderabad,"20,000",650,Furnished,No,1,
980,3,BHK,Apartment,Tarnaka,Hyderabad,"17,000",1450,Semi-Furnished,No,3,
981,2,BHK,Apartment,Nallakunta,Hyderabad,"19,000",1200,Furnished,No,2,East
982,1,BHK,Apartment,Kondapur,Hyderabad,"13,500",650,Unfurnished,No,1,East
983,1,BHK,Apartment,Kondapur,Hyderabad,"23,000",950,Furnished,No,1,East
984,3,BHK,Apartment,Kondapur,Hyderabad,"34,005",1800,Semi-Furnished,No,2,NorthEast
985,1,BHK,Apartment,Hafeezpet,Hyderabad,"14,600",710,Unfurnished,No,1,East
986,1,BHK,Apartment,Kondapur,Hyderabad,"14,000",710,Unfurnished,No,1,East
987,2,BHK,Apartment,Nallakunta,Hyderabad,"20,000",1400,Furnished,No,2,
988,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Unfurnished,No,1,East
989,4,BHK,Apartment,Kondapur,Hyderabad,"75,000",2800,Semi-Furnished,No,4,
990,3,BHK,Apartment,Kondapur,Hyderabad,"55,000",1890,Semi-Furnished,No,3,
991,2,BHK,Apartment,Kondapur,Hyderabad,"60,000",1340,Semi-Furnished,No,2,
992,3,BHK,Apartment,Kondapur,Hyderabad,"65,000",2290,Semi-Furnished,No,2,
993,3,BHK,Apartment,Kondapur,Hyderabad,"65,000",1965,Semi-Furnished,No,2,
994,2,BHK,Apartment,Kondapur,Hyderabad,"50,000",1300,Semi-Furnished,No,2,
995,2,BHK,Apartment,Kukatpally,Hyderabad,"45,000",1450,Semi-Furnished,No,2,
996,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",700,Furnished,,,
997,3,BHK,Apartment,Kondapur,Hyderabad,"34,000",2000,Semi-Furnished,,,
998,1,BHK,Apartment,Kondapur,Hyderabad,"14,500",650,Semi-Furnished,,,
999,3,BHK,Apartment,Kondapur,Hyderabad,"30,000",1700,Semi-Furnished,,,
1000,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",700,Furnished,,,
1001,3,BHK,Apartment,Kondapur,Hyderabad,"34,000",2000,Semi-Furnished,,,
1002,1,BHK,Apartment,Kondapur,Hyderabad,"14,500",650,Semi-Furnished,,,
1003,3,BHK,Apartment,Kondapur,Hyderabad,"30,000",1700,Semi-Furnished,,,
1004,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Semi-Furnished,,,
1005,2,BHK,Apartment,Kondapur,Hyderabad,"27,000",1250,Semi-Furnished,,,
1006,3,BHK,Apartment,Kondapur,Hyderabad,"35,000",1850,Semi-Furnished,,,
1007,3,BHK,Apartment,Kondapur,Hyderabad,"34,000",1850,Semi-Furnished,,,
1008,1,BHK,Apartment,Kondapur,Hyderabad,"14,500",650,Semi-Furnished,,,
1009,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",700,Furnished,,,
1010,2,BHK,Apartment,Kondapur,Hyderabad,"27,000",1250,Semi-Furnished,,,
1011,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",700,Semi-Furnished,,,
1012,3,BHK,Apartment,Kondapur,Hyderabad,"45,000",1850,Semi-Furnished,No,3,
1013,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Semi-Furnished,,,
1014,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1250,Semi-Furnished,,,
1015,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1200,Semi-Furnished,,,
1016,2,BHK,Apartment,Madhapur,Hyderabad,"25,000",1200,Unfurnished,No,1,East
1017,1,BHK,Independent,Uppal,Hyderabad,"9,500",800,Semi-Furnished,No,1,
1018,3,BHK,Villa,Gopanpally,Hyderabad,"80,000",3800,Semi-Furnished,No,4,North
1019,2,BHK,Apartment,Nanakramguda,Hyderabad,"41,000",1398,Semi-Furnished,No,2,
1020,2,BHK,Apartment,Kondapur,Hyderabad,"26,002",1150,Semi-Furnished,No,1,South
1021,1,BHK,Apartment,Kondapur,Hyderabad,"12,992",680,Unfurnished,No,1,South
1022,4,BHK,Villa,Kokapet,Hyderabad,1.5,3600,Furnished,No,5,
1023,3,BHK,Apartment,Nanakramguda,Hyderabad,"55,000",2000,Semi-Furnished,No,3,
1024,1,BHK,Apartment,Kondapur,Hyderabad,"12,999",680,Unfurnished,No,1,South
1025,1,BHK,Apartment,Kondapur,Hyderabad,"14,503",680,Unfurnished,No,1,South
1026,1,BHK,Apartment,Kondapur,Hyderabad,"12,993",680,Unfurnished,No,1,South
1027,2,BHK,Apartment,Nanakramguda,Hyderabad,"42,000",1400,Semi-Furnished,No,2,
1028,2,BHK,Apartment,Nanakramguda,Hyderabad,"40,000",1350,Semi-Furnished,No,2,
1029,3,BHK,Villa,Mokila,Hyderabad,"50,000",2400,Semi-Furnished,No,4,
1030,3,BHK,Apartment,Nanakramguda,Hyderabad,"80,000",2000,Furnished,No,3,
1031,1,BHK,Apartment,Kondapur,Hyderabad,"15,502",680,Semi-Furnished,No,1,South
